"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x340893538","x1330988337084190736",2020-11-23 21:35:22,"AstroDelToro","To clarify: the breakdown of TGIO is after the second chorus, when Amy first sings ""The game is over"" .

The UMV breakdown is after she shouts the last ""like it or not""","Twitter for Android",168,"x1330988115058683908","x340893538","AstroDelToro",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AstroDelToro/status/1330988337084190736","ℙ𝕙𝕚𝕝 ˣ_ˣ","Shropshire, UK","Evanescence 🎸 | Gayming 🏳️‍🌈🎮 | Doggos 🐕 |  Hufflepuff 💛 | Fanboy 😍 |","https://t.co/mp6l7Oo4RB",FALSE,358,1101,5,9566,4956,2011-07-23 13:17:31,FALSE,"https://t.co/mp6l7Oo4RB","http://www.instagram.com/astrodeltoro",,"https://pbs.twimg.com/profile_banners/340893538/1601074282","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1291821946003501057/i_ZRM8Mw_normal.jpg"
"x1148944779306295297","x1330976253994803205",2020-11-23 20:47:21,"SUHDI0R","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter for Android",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SUHDI0R/status/1330976253994803205","⸙͎۪۫lisa | shotaro protector","","˗ˏˋ make a wish ˎˊ˗ ┊⁀➷ @solarxillumi ♡ she/they, blm",,FALSE,321,627,3,3398,46790,2019-07-10 13:19:16,FALSE,,,,"https://pbs.twimg.com/profile_banners/1148944779306295297/1604941216",,"http://pbs.twimg.com/profile_images/1325845552341323782/5sgQNwzA_normal.jpg"
"x1116462597166051335","x1330975069913411588",2020-11-23 20:42:39,"yangyangscloud","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter for iPhone",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/yangyangscloud/status/1330975069913411588","get wayv out of sm","she/her","#yangyang","https://t.co/BrVz4rEtNc",FALSE,1783,2756,4,4806,10416,2019-04-11 22:06:40,FALSE,"https://t.co/BrVz4rEtNc","https://youtu.be/eUCVRF6hjSQ",,"https://pbs.twimg.com/profile_banners/1116462597166051335/1605217267",,"http://pbs.twimg.com/profile_images/1327003511964438532/BcxgmxO1_normal.jpg"
"x3397777797","x1330960876707442692",2020-11-23 19:46:15,"YoungGodLele","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter Web App",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/YoungGodLele/status/1330960876707442692","Woozen¹²⁷ | 90s love","","Today I'm happy only because Sungchan debuted.",,FALSE,186,261,1,25807,53531,2015-07-31 22:23:32,FALSE,,,,"https://pbs.twimg.com/profile_banners/3397777797/1600787063","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330184038678671363/8IvmeA4M_normal.jpg"
"x559928876","x1330958722831704070",2020-11-23 19:37:42,"MiguelCRomao","If you change the chorus to:

""And fuck them and their lore""

this song becomes an exaggerated beef between two sects of different tabletop roleplaying game systems, and find that amusing.
https://t.co/DRlXPFxRIB","Twitter for Android",212,,,,FALSE,FALSE,1,0,,,,,"youtu.be/Qz9I0WJxF84","https://t.co/DRlXPFxRIB","https://youtu.be/Qz9I0WJxF84",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MiguelCRomao/status/1330958722831704070","Miguel Crispim Romão #BLM","United Kingdom/Portugal","Theoretical Physicist. Machine Learning Engineer. Massive Nerd. He/Comrade. My opinions are my own and, quite frankly, terrible, unfortunately.","https://t.co/9VoV4cWpxh",FALSE,206,798,7,2874,5214,2012-04-21 23:26:18,FALSE,"https://t.co/9VoV4cWpxh","http://miguelromao.me",,"https://pbs.twimg.com/profile_banners/559928876/1605467144","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1327294590412615681/u6GK5RzI_normal.jpg"
"x217388162","x1330956070919884800",2020-11-23 19:27:09,"clownctea","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter for iPhone",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/clownctea/status/1330956070919884800","rindu dunia tanpa covid","smbabies ♥","#XIAOJUN #HAECHAN #YANGYANG #JENO #JUNGWOO #LUCAS LMAO I LOVE ALL 😩",,FALSE,3717,183,22,44799,3783,2010-11-19 11:44:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/217388162/1606145470","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330954426689888258/n7SD0df7_normal.jpg"
"x19759124","x1330952477806563336",2020-11-23 19:12:53,"Styla73","Joining the chorus in nominating @calumshanlin for #SproutSpotlights Best-In-Class because @SchittsCreek's social game is second to none, and not a day goes by when I don't use one of Calum's brilliant creations. https://t.co/QkeCH4ztXX","TweetDeck",212,,,,FALSE,FALSE,2,0,,,"SproutSpotlights",,,,,"http://pbs.twimg.com/tweet_video_thumb/Enh-HNsXcAUSD_w.jpg","https://t.co/QkeCH4ztXX","https://twitter.com/Styla73/status/1330952477806563336/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/Enh-HNsXcAUSD_w.jpg","https://t.co/QkeCH4ztXX","https://twitter.com/Styla73/status/1330952477806563336/photo/1",,"x19969160 x2237952289","calumshanlin SchittsCreek","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Styla73/status/1330952477806563336","Kylie 💚✌💥","Kiwi, sent to Coventry.","Tangata tiriti.""Concise, informative, & not too flowery!"" Communicator. Immigrant. 💚Romantic anti-capitalist💚 Don't use my tweets for your article. She/hers🌈",,FALSE,907,1310,36,219670,65863,2009-01-30 08:14:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/19759124/1419989357","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1300100426113658881/pW0PDZnL_normal.jpg"
"x19759124","x1330951020088872960",2020-11-23 19:07:05,"Styla73","Joining the chorus in nominating @calumshanlin for #SproutSpotlights because @SchittsCreek's social game is second to none, and not a day goes by when I don't use one of his brilliant creations. https://t.co/9kCRtjpJym","TweetDeck",194,,,,FALSE,FALSE,2,0,,,"SproutSpotlights",,,,,"http://pbs.twimg.com/tweet_video_thumb/Enh82gcXIAEesYI.jpg","https://t.co/9kCRtjpJym","https://twitter.com/Styla73/status/1330951020088872960/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/Enh82gcXIAEesYI.jpg","https://t.co/9kCRtjpJym","https://twitter.com/Styla73/status/1330951020088872960/photo/1",,"x19969160 x2237952289","calumshanlin SchittsCreek","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Styla73/status/1330951020088872960","Kylie 💚✌💥","Kiwi, sent to Coventry.","Tangata tiriti.""Concise, informative, & not too flowery!"" Communicator. Immigrant. 💚Romantic anti-capitalist💚 Don't use my tweets for your article. She/hers🌈",,FALSE,907,1310,36,219670,65863,2009-01-30 08:14:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/19759124/1419989357","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1300100426113658881/pW0PDZnL_normal.jpg"
"x1262477036238647297","x1330950806158381058",2020-11-23 19:06:14,"Mel0nb0p","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter Web App",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Mel0nb0p/status/1330950806158381058","Cantaloupe KOLO","","https://t.co/VaktpU6WJ5
#NCT #NCT127 #NCTDREAM #WAYV #SuperM
she/her","https://t.co/rSEQ45FrZn",FALSE,137,343,2,22255,56877,2020-05-18 20:16:59,FALSE,"https://t.co/rSEQ45FrZn","http://mel0n.carrd.co",,"https://pbs.twimg.com/profile_banners/1262477036238647297/1606063573",,"http://pbs.twimg.com/profile_images/1330553178413293571/hzdq1D1t_normal.jpg"
"x752152351067217920","x1330946875399213061",2020-11-23 18:50:37,"4lifenctot23","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter for Android",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/4lifenctot23/status/1330946875399213061","Shotaro's single mother #AESPA monster rookies 💚","SM's basement ","FOR NCT, BECAUSE OF NCT , ONLY FOR NCT
OT21 🔥😍",,FALSE,139,541,0,10624,11951,2016-07-10 14:47:49,FALSE,,,,"https://pbs.twimg.com/profile_banners/752152351067217920/1605897901",,"http://pbs.twimg.com/profile_images/1330921845411999747/r5MleiK7_normal.jpg"
"x1190299876359204864","x1330941789344133121",2020-11-23 18:30:24,"acolyteeeeee","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter for iPhone",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/acolyteeeeee/status/1330941789344133121","NCT 2020 💚✨","OT23 ","no nct, no life #NCT #JAEHYUN #SUNGCHAN",,FALSE,135,325,0,4461,4024,2019-11-01 16:09:53,FALSE,,,,"https://pbs.twimg.com/profile_banners/1190299876359204864/1594101232",,"http://pbs.twimg.com/profile_images/1315291163729883136/mMI6UYk2_normal.jpg"
"x1280805125880078336","x1330941566240780289",2020-11-23 18:29:31,"NE0PlNKz","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter for Android",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NE0PlNKz/status/1330941566240780289","lene²³🌹| 90s Love~ OUT NOW‼‼‼","","#TAEYONG : S.A.V.A.G.E., keep it pretty pretty savage 👑✨ | neopink agenda 🖤💚💖 ~ {she/her}",,FALSE,405,583,11,8683,51780,2020-07-08 10:05:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/1280805125880078336/1606060486",,"http://pbs.twimg.com/profile_images/1330824443669610496/k1-RbWUc_normal.jpg"
"x942912959591968768","x1330940348617666561",2020-11-23 18:24:41,"_lynxsoul","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter Web App",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_lynxsoul/status/1330940348617666561","ᴮᴱ DI✨","","| ♡ | ❝I'm trying my best to be the girl I dream❞ | MultiFangirl | NCTzen | Blink | WayZenNi | Yunqi | TreasureMaker | Army | Being a fangirl is my job.","https://t.co/C9XK4AzKwL",FALSE,218,565,0,25815,34975,2017-12-19 00:22:22,FALSE,"https://t.co/C9XK4AzKwL","https://lynxflawsome.tumblr.com/",,"https://pbs.twimg.com/profile_banners/942912959591968768/1604955376","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1325905063043362816/HU-s518A_normal.jpg"
"x1313388991886970881","x1330939268903026689",2020-11-23 18:20:24,"swaltyh","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter for Android",140,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x2661422782","doiesolace","en",,,,,,,,,,,,,,,,"x1330938855260893185","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??",2020-11-23 18:18:45,"Twitter for iPhone",77,11,"x2661422782","doiesolace","Winnie ʕ•̀ᴥ•́ʔ ↔",3026,327,39734,"bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/swaltyh/status/1330939268903026689","ᵕ̈ 𝐬𝐚𝐥𝐦𝐨𝐧彡- stream 90's love","rencanany minggat ke vancouver","ꜥꜤ ☁︎ ⋅┊ going ✈ to love for #⃞nct more to than the infinity. ༉‧₊ ♡

 ❝ #태용 #윈윈 #해찬 ❝",,FALSE,176,260,3,2142,2055,2020-10-06 08:02:12,FALSE,,,,"https://pbs.twimg.com/profile_banners/1313388991886970881/1604370716",,"http://pbs.twimg.com/profile_images/1323452829038596097/uOvx-85L_normal.jpg"
"x803185164813680640","x1330939148383907840",2020-11-23 18:19:55,"TonericheMusic","Criticizing #MeganTheeStallion ￼ Body ody ody lazy ass chorus. But it’s stuck in my head and that’s how you play the game. Lol. Kudos.","Twitter for iPhone",134,,,,FALSE,FALSE,0,0,,,"MeganTheeStallion",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TonericheMusic/status/1330939148383907840","Tonëriche: Hip Pop Musician 🎵","San Diego, CA","#Toneriche. Alternative Hip Pop #musician. Songs available on all major music streaming svcs. I love music and geeky thingz. Inquiries: toneriche@musician.org","https://t.co/3KLVs3N0UM",FALSE,125,221,0,1733,968,2016-11-28 10:34:00,FALSE,"https://t.co/3KLVs3N0UM","https://open.spotify.com/artist/1jSsFwx14XGWxapyvHfQPI?si=ENGfzwDjSryxsR2hBLy4DQ",,"https://pbs.twimg.com/profile_banners/803185164813680640/1597190445",,"http://pbs.twimg.com/profile_images/1322770671739523072/zbpKbFGA_normal.jpg"
"x2661422782","x1330938855260893185",2020-11-23 18:18:45,"doiesolace","Why did the editors cut off Yangyang’s screentime during his parts.... they did this both times??? If you were a new fan watching the mv you might not even notice him bc of this? It’s frustrating. If they wanted to show the hockey game they could have done so during the chorus??","Twitter for iPhone",279,,,,FALSE,FALSE,77,11,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/doiesolace/status/1330938855260893185","Winnie ʕ•̀ᴥ•́ʔ ↔","bounce | curiouscat ➢ carrd","#Jeno: I shit you not, Kun accidentally flipped a folding table of hors d’oeuvres on top of lil trainee Liu Yangyang and yelled ‘I hate nctzens.’ (she/her)","https://t.co/HueLLe40Vn",FALSE,3026,327,71,39734,140331,2014-07-01 21:02:07,FALSE,"https://t.co/HueLLe40Vn","https://doiestaro.carrd.co",,"https://pbs.twimg.com/profile_banners/2661422782/1603303805","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1321823075340607488/tdOLpXfN_normal.jpg"
"x25288788","x1330915178171559941",2020-11-23 16:44:40,"blurryphoenix","The first song you “play” in Old School Musical. There’s just something about this song that makes me love it. It could be the music itself, namely the chorus and the scratches, which the game glitches on beat, that make me frequently come back to play it. https://t.co/HWzJ9DDOAV","Twitter Web App",280,,,,FALSE,FALSE,0,0,,,,,"blurryphoenix.com/weekly-video-g…","https://t.co/HWzJ9DDOAV","https://blurryphoenix.com/weekly-video-game-track-drugged-mj/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/blurryphoenix/status/1330915178171559941","BlurryPhoenix","Minneapolis, MN","Sitecore Developer by profession, streamer for funsies","https://t.co/xiBiqdylQJ",FALSE,186,138,9,4061,267,2009-03-19 13:15:24,FALSE,"https://t.co/xiBiqdylQJ","http://www.blurryphoenix.com",,"https://pbs.twimg.com/profile_banners/25288788/1504203457","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/946560590826430464/-XwDOxs4_normal.jpg"
"x1104547345","x1330905347163295746",2020-11-23 16:05:36,"G12OST","That Jamie Foxx chorus , that back to back Hov nd Game , nd MONSTER Nicki 😨🔥🤯","Twitter for iPhone",77,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/G12OST/status/1330905347163295746","James Maddmzeeson 🐉🦊","Leicester","Battlin dem demons . #Grandé",,FALSE,3218,2431,10,73085,15443,2013-01-19 20:03:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/1104547345/1605748844","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1329857607738281984/YJATQIXq_normal.jpg"
"x1307639304600969216","x1330895486291623937",2020-11-23 15:26:25,"tteokjeongwooo","Treasure game
(BOY, I LOVE YOU, MMM)

MV INTRO : MMM
CHORUS: I LOVE YOU 
CHOREOGRAPHY:BOY
MV CONCEPT: I LOVE YOU
MV OUTRO: I LOVE YOU

Reply “@.treasuremembers” and I’ll dm you clear copy 🧡
@treasuremembers","Twitter for iPhone",206,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1240627844868268033","treasuremembers","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tteokjeongwooo/status/1330895486291623937","teuonce","","made in japan | once and teume here! 🤟🏻 nah,actually a multi account soooo",,FALSE,230,254,0,448,391,2020-09-20 11:15:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1307639304600969216/1605455958",,"http://pbs.twimg.com/profile_images/1328382694904922117/VvAkpUrB_normal.jpg"
"x1180561964310958085","x1330838833794076673",2020-11-23 11:41:18,"Vl0neMoses","@TechNoir_Talks I’m glad I screenshot that article because I can no longer find it(another Xbox dev)but here’s another from Eurogamer basically saying the same thing...the transition to development on series X was-straightforward and they felt”at home “. https://t.co/MQ9IMjW62M","Twitter for iPhone",262,"x1330796976733102080","x1283447256625164288","TechNoir_Talks",FALSE,FALSE,0,0,,,,,"eurogamer.net/amp/2020-05-07…","https://t.co/MQ9IMjW62M","https://www.eurogamer.net/amp/2020-05-07-what-its-like-to-develop-a-game-for-xbox-series-x-according-to-the-creator-of-chorus",,,,,,,,,"x1283447256625164288","TechNoir_Talks","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Vl0neMoses/status/1330838833794076673","CashmoneyMoses03","Virginia, USA","Well for 1 I’m an upcoming dream follower and console design and gaming engineer (it’s my passion)Huge fan of PlayStation.And a certified Viber👍🏾☠️",,FALSE,4,50,0,103,1070,2019-10-05 19:14:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/1180561964310958085/1597891040",,"http://pbs.twimg.com/profile_images/1296274474795499521/wGUNvyv3_normal.jpg"
