"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x124448194","x1331239275267051520",2020-11-24 14:12:31,"markpalmberg","@ECMcLaughlin I’m using 2% this morning to save the last dribbles of oat milk for my wife when she gets up. And they say chivalry is dead....","Twitter for iPhone",127,"x1331237772577837056","x335060282","ECMcLaughlin",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x335060282","ECMcLaughlin","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/markpalmberg/status/1331239275267051520","Mark Palmberg","","",,FALSE,322,915,2,12608,51941,2010-03-19 12:36:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/124448194/1544401028","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/587770195009089537/7Vo8hgcF_normal.jpg"
"x2386226790","x1331152139503079425",2020-11-24 08:26:16,"Virtill","1. Rascal Does Not Dream Bunny Girl Senpai
2. Tonikawa
3. Code Geass
4. Chivalry of a Failed Knight
5. Snow White With Red Hair https://t.co/XlgmyEMGAn","Twitter for Android",127,,,,TRUE,FALSE,2,0,,,,,"twitter.com/TalkDomination…","https://t.co/XlgmyEMGAn","https://twitter.com/TalkDomination/status/1331110977098584066",,,,,,,,,,,"en","x1331110977098584066","Don't break the chain
⛓

What's your top 5 anime? 

1) Jojo’s Bizarre Adventure
2) One Piece
3) Miss Kobayashi’s Dragon Maid
4) Pokémon
5) Toriko

tag 5 mututals/friends:
@Virtill 
@AppleGenesis24
@Crumsu_
@Purple_Illusi0n 
@6amerBr0 https://t.co/73U8Chgcqn",2020-11-24 05:42:42,"Twitter for iPhone",3,1,"x788588279587299328","TalkDomination","Tony (Nekomimi | Kitsunemimi | Okamimimi)",870,4999,37864,"","22 | Beta Weeb | Student | Gamer | JJBA fan | Stand User | IndieGameDev | Nekomimi | Kitsunemimi | Okamimimi. Writing comic, artists wanted. DM 4 music coms",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Virtill/status/1331152139503079425","Virt","United States","Just know, I'm hard headed and ridiculous. I love #StellaVermillion and #MaiSakurajima",,FALSE,5518,1675,32,183959,37449,2014-03-13 03:16:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/2386226790/1604486488","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/1329969413504729090/dtmLgkMm_normal.jpg"
"x1329281114712793088","x1331068265259552774",2020-11-24 02:52:59,"kekwqing","@Maxine62840438 2 partes de Bloodstained Chivalry y 2 partes de Gladiator's Finale 🥳","Twitter for Android",68,"x1331053494334271490","x1315703311237079042","Maxine62840438",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1315703311237079042","Maxine62840438","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kekwqing/status/1331068265259552774","lecramiqing","🇨🇱","ɪɢ @ʟᴇᴄʀᴀᴍɪꜰᴇʀ
17ʏ/ᴏ ʜᴇ/ʜɪᴍ
ᴀʀɪᴇꜱ ²⁶/⁰³","https://t.co/4FtS0dB5ob",FALSE,60,69,1,150,463,2020-11-19 04:31:34,FALSE,"https://t.co/4FtS0dB5ob","https://h-hlding.carrd.co/",,"https://pbs.twimg.com/profile_banners/1329281114712793088/1605760884",,"http://pbs.twimg.com/profile_images/1329281212083564546/Bi7ZjP1d_normal.jpg"
"x1081387882873528320","x1331063480472965120",2020-11-24 02:33:58,"_CourtneyAHill","@notcapnamerica Has lots of wisdom; knows his way around a tailored suit/tailored clothes; knows how 2 cook; knows how 2 put ish together/build stuff; performs chivalry; thoroughly enjoys making/spending money; loves sports esp football, basketball &amp; baseball; loves 2 swim - I’m an avid swimmer","Twitter for iPhone",283,"x1331039793103384580","x33913156","notcapnamerica",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x33913156","notcapnamerica","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_CourtneyAHill/status/1331063480472965120","Polaris Strategies","Arlington, VA+Washington, DC","Founder & Political Consultant, Polaris Strategies | @SpelmanCollege Mom | 🔺 Woman | NE4Life","https://t.co/EuLqI6KnV2",FALSE,819,2412,4,7306,87401,2019-01-05 03:12:17,FALSE,"https://t.co/EuLqI6KnV2","http://www.polarisstrategies.org",,"https://pbs.twimg.com/profile_banners/1081387882873528320/1595705044",,"http://pbs.twimg.com/profile_images/1081631346081087488/jJLLOrtn_normal.jpg"
"x969669009485520897","x1331042582525251584",2020-11-24 01:10:55,"KJVtv","@TommyMcMurtry2 @JCGroves @RFPodcast3 @CodyZorn Bingo. This year, I helped 2 women escape abuse...&amp; 1 abusers was a ministry leader at a trendy #SBC church down the block who’s been known to have done this to other women for years. I hate gaslighting!
.
IFB is far safer for women cuz we preach modesty to them &amp; chivalry to men","Twitter for iPhone",288,"x1330930713793859587","x1202750900600750080","TommyMcMurtry2",FALSE,FALSE,0,0,,,"SBC",,,,,,,,,,,,,"x1202750900600750080 x18974512 x1149030756502724612 x1455833120","TommyMcMurtry2 JCGroves RFPodcast3 CodyZorn","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KJVtv/status/1331042582525251584","Pastor Nathan R. Rager ✝️🇺🇸","Port Richey, FL","Missionary church planter @ Independent Baptist Church. I hate everything liberal & love everything Biblical. A patriotic, gun-toting, sheep in wolf’s clothing","https://t.co/Z5sbIgOj0t",FALSE,8073,7887,8,645,3363,2018-03-02 20:21:22,FALSE,"https://t.co/Z5sbIgOj0t","http://BaptistTampaBay.com",,"https://pbs.twimg.com/profile_banners/969669009485520897/1578878119","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1300957332252299266/9e_Yxron_normal.jpg"
"x1137227060416356352","x1331012718434738176",2020-11-23 23:12:15,"Nitro_Foxit","@Iwan__II @SoundOfYogi @jokowi Because the anti sexual violence bill (RUU PKS) contains an additional legal basis which is victim oriented, extend the type of sexual violence (from 2 to 9 types), justice &amp; humanity values, family values, and the Chivalry values from Cis-men (men also protected by this bill)","Twitter for Android",281,"x1331010703407206400","x1137227060416356352","Nitro_Foxit",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1248141612414189569 x93882850 x366987179","Iwan__II SoundOfYogi jokowi","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Nitro_Foxit/status/1331012718434738176","Arief Setiawan II","Kota Tangerang, Banten","my second acc of @jtmkcjjmt",,FALSE,74,246,0,10855,9993,2019-06-08 05:17:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/1137227060416356352/1605835442",,"http://pbs.twimg.com/profile_images/1326862142214008832/Rq0JPVsn_normal.jpg"
"x990609798424080384","x1331003819275280388",2020-11-23 22:36:54,"GiornoGiovanyx","What's your top 5 anime ?

1. Kaguya-sama : Love is war
2. Bunny girl senpai
3. Jojo's bizarre adventure
4. Chivalry of a failed knight
5. Grand blue

@Perpp_  @CEOofllenn @silversrogerr @sugawaraskitty https://t.co/r2XdPhMeVv","Twitter for Android",202,,,,TRUE,FALSE,1,0,,,,,"twitter.com/Hentaihoemi/st…","https://t.co/r2XdPhMeVv","https://twitter.com/Hentaihoemi/status/1330980899148664832",,,,,,,,,"x744983371806171136 x947229853429960705 x1308421994598334467 x1124358220837822464","Perpp_ CEOofllenn silversrogerr sugawaraskitty","en","x1330980899148664832","What's your top 5 anime? 

1. Inuyasha
2. Evangelion 
3. AOT 
4. Rurouni Kenshin
5. HxH

5 mutuals @GiornoGiovanyx @TentaKenzie @oawkie @Liliaceae27 @dimplesenpai https://t.co/rkoW8uVByE",2020-11-23 21:05:49,"Twitter for Android",5,0,"x1277642810213257218","Hentaihoemi","c a i n🌙",394,273,7592,"","disappointing. bad tweets & anime // nsfw",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GiornoGiovanyx/status/1331003819275280388","Marc","17  he/him    FR/EN","Watch/read Kaguya-sama, Bunny girl senpai, JJBA, Chainsaw man | Power is my wife 💖 | @silversrogerr is my qt 🥰",,FALSE,382,621,3,8690,49645,2018-04-29 15:12:35,FALSE,,,,"https://pbs.twimg.com/profile_banners/990609798424080384/1602926852",,"http://pbs.twimg.com/profile_images/1328968757092491265/4zoeYonU_normal.jpg"
"x1195029521600303105","x1330937409660448780",2020-11-23 18:13:00,"Saiyaman01_DE","-Ranma 1/2
-Inu Yasha
-Chivalry of A Failed Knight
-Prinzessin Mononoke
-Dragonball (Z)
https://t.co/nBEYrJQlcb","Twitter Web App",111,,,,TRUE,FALSE,4,0,,,,,"twitter.com/SirZERO11/stat…","https://t.co/nBEYrJQlcb","https://twitter.com/SirZERO11/status/1330635222904352770?s=20",,,,,,,,,,,"en","x1330635222904352770","don't break the chain !! ⛓
what's your top 5 anime?(no order)
lemme know if we share the taste!!

- Gurren Lagann
-JoJo's Bizarre Adventure
-Cowboy Bebop
-Kill La Kill
-Attack On Titan

Tag 5 mutuals: @real_AniKi @wie_ein_Geist @Personaxd7 @Saiyaman01_DE @Brian__kun https://t.co/m838VVdJlG",2020-11-22 22:12:13,"Twitter for Android",5,0,"x1003339456852709382","SirZERO11","DatBoiZero",58,57,3147,"Erde","Vergiss mal die Logik und tu das unmögliche! / JoJo / zu faul um eine richtige Bio zu schreiben",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Saiyaman01_DE/status/1330937409660448780","Saiyaman01","Kassel, Deutschland","Fan von Science-Fiction, Fantasy und alles was es dazwischen noch so gibt. Egal ob Film, Serie oder Games.",,FALSE,47,209,0,2325,9276,2019-11-14 17:25:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/1195029521600303105/1578869317",,"http://pbs.twimg.com/profile_images/1195030305800888321/ocxIwRHL_normal.jpg"
"x1169316589818339328","x1330849602048847872",2020-11-23 12:24:05,"a_adban","Earthdawn
Cyberpunk 2020
Warhammer 1, 2, 4
Rogue Trader
Fading Suns 1, 2, 3
Clockwork and Chivalry
Vampire: DA 1, 2, 20
Werewolf: DA 1
Werewolf: WW 1, 
Mage: DA 1
Wraith: GW
Changeling: DA
GURPS 3, 4
Mythras (y una variación con @IsraelSalcedoJ )
...
Y creo que se me olvidan...","Twitter Web App",278,"x1330849600652124163","x1169316589818339328","a_adban",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x341054819","IsraelSalcedoJ","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/a_adban/status/1330849602048847872","Adbán. Él / lo / le - He / him","Madrid, Spain","Juntapalabras, tuercelibros, rolero, comiquero, entusiasta de la subcultura, profesor de educación secundaria. (Ask me...)
(Ask me about GURPS)",,FALSE,348,670,2,6569,14775,2019-09-04 18:29:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/1169316589818339328/1580038636",,"http://pbs.twimg.com/profile_images/1323211552837771264/gI6gy7sN_normal.jpg"
"x1160942095152156672","x1330798904640757765",2020-11-23 09:02:38,"sana_stans","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz","Twitter Web App",139,,,,FALSE,TRUE,0,7,,,"ShehnaazGill",,,,,,,,,,,,,"x1279748341878980609 x923517742770032640 x2602250071 x1189446547622125571 x910386328273002496 x951069828038639616","Rupal92752206 akasshagupta arjun_kanungo ishehnaaz_gill peepoye_ VYRLOriginals","en",,,,,,,,,,,,,,,,"x1330794913194119168","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz",2020-11-23 08:46:46,"Twitter for Android",4,7,"x1279748341878980609","Rupal92752206","Rupal",71,141,10781,"","Stay Hungry Stay Foolish ~ ST€V€",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sana_stans/status/1330798904640757765","Romy/ (Dakka DiDi is a mem materil)","","Love  💕💕💕#ShehnaazGill💕💕💕",,FALSE,184,471,0,20149,18756,2019-08-12 15:52:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/1160942095152156672/1601571222",,"http://pbs.twimg.com/profile_images/1330870453024530432/-kJQY7QN_normal.jpg"
"x1269665468794769411","x1330796723380228096",2020-11-23 08:53:58,"123690Shreya","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz","Twitter for Android",139,,,,FALSE,TRUE,0,7,,,"ShehnaazGill",,,,,,,,,,,,,"x1279748341878980609 x923517742770032640 x2602250071 x1189446547622125571 x910386328273002496 x951069828038639616","Rupal92752206 akasshagupta arjun_kanungo ishehnaaz_gill peepoye_ VYRLOriginals","en",,,,,,,,,,,,,,,,"x1330794913194119168","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz",2020-11-23 08:46:46,"Twitter for Android",4,7,"x1279748341878980609","Rupal92752206","Rupal",71,141,10781,"","Stay Hungry Stay Foolish ~ ST€V€",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/123690Shreya/status/1330796723380228096","Flipper shreya 👈✌💛😌","","",,FALSE,33,33,0,13914,1961,2020-06-07 16:21:34,FALSE,,,,"https://pbs.twimg.com/profile_banners/1269665468794769411/1603699332",,"http://pbs.twimg.com/profile_images/1331148603448967171/CnD-coVr_normal.jpg"
"x1272505871159918593","x1330795889741402112",2020-11-23 08:50:39,"Naila62576848","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz","Twitter for Android",139,,,,FALSE,TRUE,0,7,,,"ShehnaazGill",,,,,,,,,,,,,"x1279748341878980609 x923517742770032640 x2602250071 x1189446547622125571 x910386328273002496 x951069828038639616","Rupal92752206 akasshagupta arjun_kanungo ishehnaaz_gill peepoye_ VYRLOriginals","en",,,,,,,,,,,,,,,,"x1330794913194119168","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz",2020-11-23 08:46:46,"Twitter for Android",4,7,"x1279748341878980609","Rupal92752206","Rupal",71,141,10781,"","Stay Hungry Stay Foolish ~ ST€V€",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Naila62576848/status/1330795889741402112","sana","","student",,FALSE,63,366,0,13492,5076,2020-06-15 12:27:06,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1272506053054382080/GrDK_IOy_normal.jpg"
"x1314824200536952839","x1330795569762037761",2020-11-23 08:49:23,"Mannathmannath1","We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz https://t.co/3aCQFUFMxF","Twitter for Android",139,,,,FALSE,TRUE,0,2,,,"ShehnaazGill ArjunKanungo",,,,,,,,,,,,,"x1279748341878980609","Rupal92752206","en",,,,,,,,,,,,,,,,"x1330794766867435520","We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz https://t.co/3aCQFUFMxF",2020-11-23 08:46:12,"Twitter for Android",2,2,"x1279748341878980609","Rupal92752206","Rupal",71,141,10781,"","Stay Hungry Stay Foolish ~ ST€V€",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Mannathmannath1/status/1330795569762037761","Mannath mannath","","possetivity",,FALSE,71,139,0,6268,734,2020-10-10 07:05:09,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1330955066421886976/Uo8QgjDN_normal.jpg"
"x1314824200536952839","x1330795211564355586",2020-11-23 08:47:58,"Mannathmannath1","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz","Twitter for Android",139,,,,FALSE,TRUE,0,7,,,"ShehnaazGill",,,,,,,,,,,,,"x1279748341878980609 x923517742770032640 x2602250071 x1189446547622125571 x910386328273002496 x951069828038639616","Rupal92752206 akasshagupta arjun_kanungo ishehnaaz_gill peepoye_ VYRLOriginals","en",,,,,,,,,,,,,,,,"x1330794913194119168","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz",2020-11-23 08:46:46,"Twitter for Android",4,7,"x1279748341878980609","Rupal92752206","Rupal",71,141,10781,"","Stay Hungry Stay Foolish ~ ST€V€",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Mannathmannath1/status/1330795211564355586","Mannath mannath","","possetivity",,FALSE,71,139,0,6268,734,2020-10-10 07:05:09,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1330955066421886976/Uo8QgjDN_normal.jpg"
"x1283642343774498816","x1330795566259859460",2020-11-23 08:49:22,"prabhsangha9","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz","Twitter for iPhone",139,,,,FALSE,TRUE,0,7,,,"ShehnaazGill",,,,,,,,,,,,,"x1279748341878980609 x923517742770032640 x2602250071 x1189446547622125571 x910386328273002496 x951069828038639616","Rupal92752206 akasshagupta arjun_kanungo ishehnaaz_gill peepoye_ VYRLOriginals","en",,,,,,,,,,,,,,,,"x1330794913194119168","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz",2020-11-23 08:46:46,"Twitter for Android",4,7,"x1279748341878980609","Rupal92752206","Rupal",71,141,10781,"","Stay Hungry Stay Foolish ~ ST€V€",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/prabhsangha9/status/1330795566259859460","PRABH💚(Waada Hai 28Msoon)","","Do good for those who do good for others-Thats d reason I stan SHEHNAAZ",,FALSE,276,219,0,27020,11546,2020-07-16 05:59:37,FALSE,,,,"https://pbs.twimg.com/profile_banners/1283642343774498816/1603266920",,"http://pbs.twimg.com/profile_images/1327124146552266754/KUYFPM3H_normal.jpg"
"x1322213550887038978","x1330795212340219905",2020-11-23 08:47:58,"AnushaTyagi6","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz","Twitter for Android",139,,,,FALSE,TRUE,0,7,,,"ShehnaazGill",,,,,,,,,,,,,"x1279748341878980609 x923517742770032640 x2602250071 x1189446547622125571 x910386328273002496 x951069828038639616","Rupal92752206 akasshagupta arjun_kanungo ishehnaaz_gill peepoye_ VYRLOriginals","en",,,,,,,,,,,,,,,,"x1330794913194119168","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz",2020-11-23 08:46:46,"Twitter for Android",4,7,"x1279748341878980609","Rupal92752206","Rupal",71,141,10781,"","Stay Hungry Stay Foolish ~ ST€V€",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AnushaTyagi6/status/1330795212340219905","AnushaTyagi","","",,FALSE,3,5,0,609,1063,2020-10-30 16:27:54,FALSE,,,,"https://pbs.twimg.com/profile_banners/1322213550887038978/1606038681",,"http://pbs.twimg.com/profile_images/1330447395616788480/jOybPACD_normal.jpg"
"x1279748341878980609","x1330794913194119168",2020-11-23 08:46:46,"Rupal92752206","@akasshagupta @arjun_kanungo @ishehnaaz_gill @peepoye_ @VYRLOriginals We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz","Twitter for Android",280,"x1330792347261497344","x923517742770032640","akasshagupta",FALSE,FALSE,4,7,,,"ShehnaazGill ArjunKanungo WaadaHai TheLogicalPodcast",,,,,,,,,,,,,"x923517742770032640 x2602250071 x1189446547622125571 x910386328273002496 x951069828038639616","akasshagupta arjun_kanungo ishehnaaz_gill peepoye_ VYRLOriginals","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Rupal92752206/status/1330794913194119168","Rupal","","Stay Hungry Stay Foolish ~ ST€V€",,FALSE,71,141,0,10781,12870,2020-07-05 12:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1279748341878980609/1604753357",,"http://pbs.twimg.com/profile_images/1325056823611727874/nOdLUFe3_normal.jpg"
"x1279748341878980609","x1330794766867435520",2020-11-23 08:46:12,"Rupal92752206","We are superduper excited nt only 4 #ShehnaazGill but #ArjunKanungo too who is so sensible n a man of chivalry for me n Aakash to hain hi. So we will definitely watch it n try 2 bring it in trendin list like Sana's evry Interview #WaadaHai #TheLogicalPodcast
Keep Shining Shehnaaz https://t.co/3aCQFUFMxF","Twitter for Android",280,,,,TRUE,FALSE,2,2,,,"ShehnaazGill ArjunKanungo WaadaHai TheLogicalPodcast",,"twitter.com/akasshagupta/s…","https://t.co/3aCQFUFMxF","https://twitter.com/akasshagupta/status/1330792347261497344",,,,,,,,,,,"en","x1330792347261497344","#TheLogicalPodcast episode 04 feat. @arjun_kanungo is on the edit!

We discussed #WaadaHai, #Arjun's musical journey, and the experience of working with @ishehnaaz_gill and it was such a 'FUN' 'FUN' chat!

RELEASING TOMM! #ShehnaazGill #ArjunKanungo

Keep Shining Shehnaaz https://t.co/h5fZXenwd6",2020-11-23 08:36:35,"Twitter Web App",981,504,"x923517742770032640","akasshagupta","Akassh Ashok Gupta🧨",28016,146,11148,"नई दिल्ली, भारत","Founder @peepoye_ making people 'open their DM' and 'waking up' Social media
https://t.co/12mcFIltU6
msg? hello@peepoye.com.
For, Latest video click👇",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Rupal92752206/status/1330794766867435520","Rupal","","Stay Hungry Stay Foolish ~ ST€V€",,FALSE,71,141,0,10781,12870,2020-07-05 12:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1279748341878980609/1604753357",,"http://pbs.twimg.com/profile_images/1325056823611727874/nOdLUFe3_normal.jpg"
"x1192740946342866950","x1330782084030287873",2020-11-23 07:55:48,"maduraimi","Efficient Friends Said;

You Are Happy In, And With;

1) Samayapuram Cholas

2) Writer Sujatha Ganesh 

3) Ilayaraja Songs Rooster Chivalry Grand Tune Portion You Admire

4) Namperumal Kallapiran, That Kallar Tinkle In 
Namperumal And Cosmos

@ikamalhaasan @nramind @UN 

cont 1/1","Twitter Web App",280,"x1330734994432540672","x1192740946342866950","maduraimi",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x4628602041 x41898533 x14159148","ikamalhaasan nramind UN","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/maduraimi/status/1330782084030287873","Shiva #Treenstsquirrel","","Woodpecker Works AYODHYA. Chatrugna Sahadevan. Raghu Vibhishana Kallazhagar. Empire Cognition Withstand. Thirupathi, Conditional Kabaliswarar.

@geniuscaption",,FALSE,1,61,0,2652,46,2019-11-08 09:50:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/1192740946342866950/1573222049",,"http://pbs.twimg.com/profile_images/1192805835761520640/4E1L8yWu_normal.jpg"
